item_A,desc_A,item_B,desc_B,count,support
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1155,0.03151948477240476
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,1064,0.02903613142670014
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,1022,0.02788996834406724
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,1009,0.027535203580395153
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE ,993,0.02709857002510643
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI  DESIGN ,976,0.02663464687261216
85099B,JUMBO BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,952,0.025979696539679076
21212,PACK OF 72 RETROSPOT CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,913,0.02491540224866281
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,913,0.02491540224866281
22382,LUNCH BAG SPACEBOY DESIGN ,22383,LUNCH BAG SUKI  DESIGN ,909,0.024806243859840628
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,903,0.024642506276607357
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN ,886,0.024178583124113088
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,869,0.02371465997161882
21231,SWEETHEART CERAMIC TRINKET BOX,21232,STRAWBERRY CERAMIC TRINKET BOX,857,0.023387184805152277
20725,LUNCH BAG RED RETROSPOT,20726,LUNCH BAG WOODLAND,856,0.02335989520794673
